number,winrate,activation_threshold,adv_vwap_std_thr,adx_thresh,allow_long,allow_short,close_position,cmf_thresh,enable_breakeven,lookback_minutes,max_pct,min_pct,min_trend_duration,min_trend_strength,momentum_thresh,obs_direction,observation_hours,rsi_buy,rsi_exit_ob,rsi_exit_os,rsi_sell,sl_std,tp1,tp2,tp3,tp_std,trailing_distance,use_adv_vwap,use_adx,use_bb,use_cmf,use_macd,use_momentum,use_obv,use_standard_sl_tp,use_vwap,loss_count,total_pnl,trade_count,win_count,state,datetime_start,datetime_complete,duration_seconds
82,1.000000,5.000000,2.800000,51.000000,True,True,False,0.250000,False,4200,21.300000,2.800000,11,3.800000,0.004000,minus,2,68.000000,95.000000,3.000000,24.000000,,2.500000,3.000000,3.800000,,7.110000,True,False,True,True,True,False,True,False,False,0.000000,5.845464,25.000000,25.000000,COMPLETE,2025-04-27 18:34:43.040410,2025-04-27 18:34:44.407373,1.366963
93,1.000000,4.600000,2.200000,42.000000,True,True,False,0.350000,False,4110,16.800000,0.800000,11,3.200000,0.007500,minus,5,53.000000,97.000000,3.000000,22.000000,,2.000000,2.700000,3.400000,,5.810000,True,False,True,False,True,False,True,False,False,0.000000,4.584335,21.000000,21.000000,COMPLETE,2025-04-27 18:35:00.455210,2025-04-27 18:35:01.875723,1.420513
98,1.000000,4.600000,1.900000,45.000000,True,True,False,0.350000,False,4110,5.200000,1.200000,12,4.900000,0.006500,minus,5,52.000000,95.000000,4.000000,17.000000,,1.900000,2.700000,3.500000,,5.610000,True,False,True,False,True,False,False,False,False,0.000000,0.806382,4.000000,4.000000,COMPLETE,2025-04-27 18:35:06.659139,2025-04-27 18:35:07.706465,1.047326
99,1.000000,4.600000,2.100000,44.000000,True,True,False,0.350000,False,4080,4.800000,1.300000,12,5.000000,0.006500,minus,5,55.000000,95.000000,4.000000,17.000000,,1.100000,1.700000,2.300000,,5.510000,True,False,True,False,True,False,False,False,False,0.000000,0.894838,7.000000,7.000000,COMPLETE,2025-04-27 18:35:07.791792,2025-04-27 18:35:08.835738,1.043946
88,1.000000,5.000000,2.300000,47.000000,True,True,False,0.300000,False,4230,21.500000,1.500000,11,3.800000,0.008000,minus,10,53.000000,98.000000,2.000000,21.000000,,2.100000,2.900000,3.600000,,6.310000,True,False,True,False,True,False,True,False,False,0.000000,2.786253,12.000000,12.000000,COMPLETE,2025-04-27 18:34:52.913752,2025-04-27 18:34:54.415573,1.501821
87,1.000000,5.000000,2.300000,49.000000,True,True,False,0.300000,False,4230,21.100000,1.600000,11,3.300000,0.007500,minus,3,51.000000,98.000000,2.000000,21.000000,,2.400000,3.500000,4.500000,,6.610000,True,False,True,True,True,False,True,False,False,0.000000,1.232698,5.000000,5.000000,COMPLETE,2025-04-27 18:34:51.432732,2025-04-27 18:34:52.847953,1.415221
102,1.000000,4.500000,2.100000,39.000000,True,True,False,0.450000,False,4110,6.200000,2.200000,12,4.800000,0.006500,minus,8,55.000000,94.000000,4.000000,19.000000,,1.100000,1.700000,2.100000,,4.810000,True,False,True,False,True,False,False,False,False,0.000000,1.250065,10.000000,10.000000,COMPLETE,2025-04-27 18:35:11.361923,2025-04-27 18:35:12.561938,1.200015
103,1.000000,4.500000,2.100000,38.000000,True,True,False,0.400000,False,4110,6.500000,2.000000,13,4.700000,0.006000,minus,8,55.000000,94.000000,6.000000,16.000000,,1.200000,1.700000,2.100000,,5.510000,True,False,True,False,True,False,False,False,False,0.000000,1.283358,10.000000,10.000000,COMPLETE,2025-04-27 18:35:12.650537,2025-04-27 18:35:13.858457,1.207920
104,1.000000,4.500000,2.100000,39.000000,True,True,False,0.450000,False,4140,7.100000,2.100000,13,4.800000,0.006500,minus,8,55.000000,96.000000,6.000000,17.000000,,1.100000,1.600000,1.900000,,5.510000,True,False,True,False,True,False,False,False,False,0.000000,1.175000,10.000000,10.000000,COMPLETE,2025-04-27 18:35:13.951175,2025-04-27 18:35:15.215003,1.263828
105,1.000000,4.500000,2.100000,39.000000,True,True,False,0.450000,False,4140,7.600000,2.100000,13,4.700000,0.009500,minus,8,55.000000,94.000000,6.000000,16.000000,,0.700000,1.100000,1.300000,,4.810000,True,False,True,False,True,False,False,False,False,0.000000,1.089863,14.000000,14.000000,COMPLETE,2025-04-27 18:35:15.309721,2025-04-27 18:35:16.623245,1.313524
