trial,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,take_profit_levels,take_profit_size_percentages,third_level_trailing_distance,enable_breakeven,enable_trailing_take_profit,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_periods,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent
1,,False,0.99,1.0,0.97,3.58,0.16,"[2.9, 3.2, 5.0]","[33.33, 33.33, 33.33]",2.2,True,True,False,False,short,3.0,15.4,475,1,True,True,True,False,bearish,False,19,123,100,16,3.26,9,20,81,21,98,14,32,1.09,0.61,0.6029,True,40,0.0744,True,13,3.06,True,10,36,9,False,7,8,False,False,"[20, 50, 100]",0.9,True,17,False,1,0.0,5m,5m,FARTCOINUSDT,36,0.5833333333333334,-51.13614564108088,181.8160136619537,0.5006387516396936,-1.4204484900300245,4.954231675548299,0.5624999999999906,0,15,20,1,7,0,0,34.88372093023256,46.51162790697674,2.3255813953488373,16.27906976744186,0.0,0.0
2,total_symbol_performance.csv not found,False,0.99,1.0,0.75,2.15,1.03,[3.4],[100.0],1.0,False,False,False,False,long,3.88,36.56,607,12,True,True,True,False,bearish,False,18,45,78,16,3.33,1,11,60,28,82,16,33,3.79,2.42,0.8291,False,10,0.015,True,16,1.75,False,21,36,5,True,19,20.6,False,True,"[11, 90, 173]",1.0,True,8,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,
3,,False,0.99,1.0,0.3,2.78,0.36,"[1.0, 4.7]","[50.0, 50.0]",1.0,True,False,False,False,short,1.01,43.36,708,6,True,True,True,False,bearish,False,6,124,158,15,4.91,2,30,79,30,81,13,59,3.8,2.21,0.8017,False,10,0.015,False,21,2.5,False,21,36,5,False,7,8,True,False,"[20, 50, 100]",0.9,True,14,False,1,0.0,5m,5m,FARTCOINUSDT,9,0.3333333333333333,-25.655434596027145,114.94702988000034,0.2519949549496174,-2.8506038440030164,1.7995510874211271,0.7499999999999782,0,5,1,2,1,0,0,55.55555555555556,11.11111111111111,22.22222222222222,11.11111111111111,0.0,0.0
4,,True,0.0214,0.0668,0.0,1.0,0.1,[6.7],[100.0],1.0,False,False,False,False,long,1.26,11.51,82,12,False,True,True,False,bullish,False,11,131,250,4,0.9,3,26,82,29,92,18,54,3.54,1.18,0.3569,True,21,0.7668,False,21,2.5,False,21,36,5,True,20,39.3,False,True,"[36, 144, 163]",2.4,True,13,True,37,-0.1,5m,5m,FARTCOINUSDT,4,0.25,-6.667354737500056,26.669418950000235,0.254881932680678,-1.666838684375014,0.9001047374999999,0.7499999999999762,0,3,1,0,0,0,0,75.0,25.0,0.0,0.0,0.0,0.0
5,total_symbol_performance.csv not found,False,0.99,1.0,0.6,0.63,0.42,"[1.7, 2.0, 3.6]","[33.33, 33.33, 33.33]",5.23,False,True,False,False,both,3.56,34.07,303,2,False,True,True,False,bullish,False,21,102,65,16,4.05,7,20,61,21,98,10,17,4.1,1.96,0.7122,True,34,0.8627,True,36,2.11,False,21,36,5,False,7,8,False,False,"[20, 50, 100]",0.9,False,11,True,22,0.28,5m,5m,,,,,,,,,,,,,,,,,,,,,,
6,total_symbol_performance.csv not found,True,0.06,0.0258,0.0,1.0,0.1,[2.6],[100.0],1.0,False,False,False,False,both,3.93,49.87,388,8,True,True,True,False,bullish,False,29,64,210,5,1.0,9,27,55,27,82,19,15,3.88,2.77,0.6505,True,3,0.4224,True,33,1.78,True,25,36,14,True,31,38.0,True,False,"[20, 50, 100]",0.9,False,11,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,
7,total_symbol_performance.csv not found,True,0.0654,0.043,0.0,1.0,0.1,[4.3],[100.0],1.0,False,False,False,False,both,0.61,38.14,124,8,False,True,True,False,bullish,False,6,124,242,4,0.42,10,15,68,22,80,4,43,1.67,2.79,0.0496,True,10,0.9834,False,21,2.5,True,20,29,16,True,32,33.8,False,True,"[19, 75, 192]",1.05,False,11,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,
8,,False,0.99,1.0,0.24,2.4,1.42,"[3.2, 3.4, 4.8]","[33.33, 33.33, 33.33]",0.88,True,True,False,False,long,2.4,46.55,52,7,False,True,True,False,bullish,False,21,82,117,16,0.33,10,16,82,18,85,3,44,1.37,1.58,0.4739,True,10,0.3489,True,47,2.08,True,7,55,7,True,10,33.5,True,False,"[20, 50, 100]",0.9,False,11,True,32,0.3,5m,5m,FARTCOINUSDT,27,0.3703703703703703,-40.12653543607017,209.08989139935335,0.4882453728214558,-1.48616797911371,4.730563849760721,0.6111111111110893,0,16,8,3,11,0,0,42.10526315789473,21.052631578947366,7.894736842105263,28.947368421052637,0.0,0.0
9,,True,0.0395,0.0303,0.0,1.0,0.1,[3.0],[100.0],1.0,False,False,False,False,short,2.04,48.06,326,3,True,True,True,False,bearish,False,16,71,242,17,1.82,3,14,83,28,88,8,29,2.09,0.8,0.915,False,10,0.015,False,21,2.5,True,6,35,18,False,7,8,False,False,"[20, 50, 100]",0.9,False,11,False,1,0.0,5m,5m,FARTCOINUSDT,41,0.5121951219512195,-11.700471624999649,66.66376293819106,0.8034039738092107,-0.2853773567073085,9.236471624999998,0.7499999999999828,0,18,18,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0
10,,False,0.99,1.0,0.71,5.57,1.21,"[0.7, 1.5, 2.0]","[33.33, 33.33, 33.33]",1.0,False,True,False,False,long,1.34,40.97,408,10,True,True,True,False,bearish,False,20,70,172,11,2.36,7,10,70,29,97,24,35,3.2,2.86,0.3374,True,19,0.563,False,21,2.5,True,25,46,6,True,25,33.4,False,True,"[48, 138, 272]",2.27,False,11,False,1,0.0,5m,5m,FARTCOINUSDT,3,1.0,3.2832452749999828,0.0,1000.0,1.0944150916666608,0.2272547249999999,0.2499999999999916,0,0,3,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
