trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,enable_breakeven,enable_trailing_take_profit,third_level_trailing_distance,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
1,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.04,0.049,0.0,1.0,False,False,1.0,False,False,short,3.63,32.02,275,5,True,True,True,False,bullish,False,14,59,59,11,4.93,9,19,56,21,75,3,39,1.62,2.03,0.7347,True,3,0.17,False,45,3.55,False,20,58,13,True,21,17.1,True,True,2.4,False,7,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[50, 102, 212]",[4.9],[100.0]
2,Random (Initial Phase),,False,0.99,1.0,0.74,5.39,False,True,2.23,False,False,both,3.84,15.78,228,12,False,True,True,False,bullish,False,26,120,154,17,0.35,8,24,74,43,79,9,18,1.72,1.01,0.382,False,36,0.6438,True,18,3.38,False,20,58,13,False,27,39.4,False,False,1.0,True,5,True,25,0.23,5m,5m,FARTCOINUSDT,539.0,0.4304267161410018,-42.11077644167206,165.8903558320189,0.8354679101783531,-0.0781276000773136,12.115263998641236,0.0749999999999984,0.0,121.0,199.0,219.0,0.0,0.0,0.0,22.448979591836736,36.92022263450835,40.63079777365491,0.0,0.0,0.0,"[40, 130, 208]",[3.8],[100.0]
3,Random (Initial Phase),,True,0.044,0.075,0.0,1.0,False,False,1.0,False,False,both,2.84,33.95,364,10,True,True,True,False,bearish,False,5,83,151,14,2.59,3,24,69,19,87,11,35,2.61,2.78,0.4036,True,3,0.87,False,45,3.55,True,13,48,9,True,12,36.8,False,False,1.0,True,10,False,35,-0.1,5m,5m,FARTCOINUSDT,139.0,0.302158273381295,-21.070807660014463,86.62407088168,0.7591017938324666,-0.1515885443166508,3.127341889801348,0.0749999999999994,0.0,54.0,34.0,51.0,0.0,0.0,0.0,38.84892086330935,24.46043165467626,36.69064748201439,0.0,0.0,0.0,"[24, 149, 258]",[7.5],[100.0]
4,Random (Initial Phase),,True,0.052,0.05,0.0,1.0,False,False,1.0,False,False,both,3.35,33.73,103,3,False,True,True,False,bullish,False,18,135,119,7,4.36,2,18,78,40,81,12,45,4.06,1.83,0.6004,True,40,0.51,True,35,1.97,False,20,58,13,True,14,36.6,False,True,0.94,True,24,False,35,-0.1,5m,5m,FARTCOINUSDT,2.0,0.0,-2.65176149,10.607045959999994,0.0,-1.325880745,0.0439614899999999,0.0749999999999967,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[41, 84, 276]",[5.0],[100.0]
5,Random (Initial Phase),,True,0.026,0.059,0.0,1.0,False,False,1.0,False,False,long,3.51,13.46,317,9,False,True,True,False,bearish,False,19,132,53,5,1.52,6,27,55,44,84,9,57,4.41,0.78,0.2592,False,36,0.6438,True,11,3.63,True,24,49,8,True,11,39.0,False,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,8.0,0.25,-0.8224931984061528,5.379992979999997,0.7797803619853619,-0.1028116498007691,0.1813262251379706,0.074999999999999,0.0,5.0,2.0,1.0,0.0,0.0,0.0,62.5,25.0,12.5,0.0,0.0,0.0,"[12, 68, 249]",[5.9],[100.0]
6,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,False,0.99,1.0,1.0,3.74,False,False,5.65,False,False,short,0.53,22.21,465,7,False,True,True,False,bearish,False,18,34,55,3,3.53,5,28,71,27,95,18,31,4.34,1.17,0.1322,True,34,0.67,True,45,2.0,True,5,34,8,True,37,24.9,True,True,1.0,True,7,True,19,0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[48, 79, 204]","[1.6, 2.8, 4.6]","[33.33, 33.33, 33.33]"
7,Random (Initial Phase),,False,0.99,1.0,0.28,4.84,False,True,5.12,False,False,long,4.41,30.86,30,6,False,True,True,False,bullish,False,25,87,177,3,0.91,2,22,82,38,88,29,49,4.04,1.11,0.0902,False,36,0.6438,False,45,3.55,False,20,58,13,False,27,39.4,False,False,1.0,True,27,False,35,-0.1,5m,5m,FARTCOINUSDT,243.0,0.7078189300411523,-14.689408194580407,68.0330124671978,0.7230555979604755,-0.0604502394838699,2.634801819669521,0.05648148148148,0.0,39.0,166.0,35.0,0.0,0.0,0.0,16.25,69.16666666666667,14.583333333333334,0.0,0.0,0.0,"[50, 64, 262]","[1.9, 2.6, 4.3]","[33.33, 33.33, 33.33]"
8,Random (Initial Phase),,True,0.062,0.052,0.0,1.0,False,False,1.0,False,False,short,4.82,45.22,428,9,False,True,True,False,bullish,False,15,104,50,6,3.91,9,9,81,19,96,12,38,1.79,1.02,0.4388,True,22,0.04,False,45,3.55,False,20,58,13,False,27,39.4,False,True,1.14,False,7,True,38,-0.14,5m,5m,FARTCOINUSDT,98.0,0.4795918367346938,-9.832409211449152,55.09633928010077,0.8528928303430405,-0.100330706239277,2.2085967649833287,0.0749999999999986,0.0,30.0,42.0,26.0,0.0,0.0,0.0,30.612244897959183,42.85714285714285,26.53061224489796,0.0,0.0,0.0,"[22, 102, 275]",[5.2],[100.0]
9,Random (Initial Phase),,False,0.99,1.0,0.84,1.0,True,True,5.73,False,False,short,0.8,20.63,706,9,True,True,True,False,bearish,False,10,117,167,4,2.39,7,28,69,20,81,13,53,4.13,1.92,0.0423,True,21,0.86,True,19,3.02,True,18,43,5,False,27,39.4,False,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,181.0,0.2265193370165746,-22.42059413334161,90.88166483485426,0.4319854258102341,-0.1238706858195669,4.076049784695769,0.0749999999999994,0.0,175.0,4.0,2.0,0.0,0.0,0.0,96.68508287292818,2.209944751381215,1.1049723756906076,0.0,0.0,0.0,"[46, 149, 207]",[4.9],[100.0]
10,Random (Initial Phase),,False,0.99,1.0,0.78,6.79,True,True,2.65,False,False,long,2.45,13.97,585,12,True,True,True,False,bullish,False,4,81,149,6,0.74,4,17,66,31,79,28,49,3.71,1.69,0.3347,True,7,0.1,False,45,3.55,True,25,58,9,True,17,21.6,True,False,1.0,True,18,False,35,-0.1,5m,5m,FARTCOINUSDT,69.0,0.5797101449275363,-9.810251907034628,45.377810864015046,0.6089560848161875,-0.142177563870067,1.0805108777516383,0.0706521739130418,0.0,3.0,33.0,33.0,0.0,0.0,0.0,4.3478260869565215,47.82608695652174,47.82608695652174,0.0,0.0,0.0,"[38, 61, 224]","[2.1, 4.1]","[50.0, 50.0]"
11,Random (Initial Phase),,False,0.99,1.0,1.33,6.5,False,True,3.12,False,False,both,1.3,12.26,420,3,True,True,True,False,bullish,False,3,48,215,17,0.69,4,22,78,43,83,3,58,1.94,1.6,0.2544,False,36,0.6438,True,24,2.48,False,20,58,13,False,27,39.4,True,True,0.87,False,7,True,13,0.24,5m,5m,FARTCOINUSDT,461.0,0.5683297180043384,-58.82013464883538,214.0695996694817,0.6306656364048943,-0.1275924829692741,7.438870750536714,0.0650759219088917,0.0,23.0,241.0,197.0,0.0,0.0,0.0,4.989154013015185,52.27765726681128,42.73318872017354,0.0,0.0,0.0,"[29, 135, 242]","[2.6, 3.5]","[50.0, 50.0]"
12,Random (Initial Phase),,True,0.021,0.053,0.0,1.0,False,False,1.0,False,False,long,1.33,14.33,146,9,False,True,True,False,bearish,False,6,36,199,14,3.37,4,16,82,35,92,28,16,2.5,0.95,0.5825,False,36,0.6438,True,48,1.85,True,21,51,20,False,27,39.4,True,True,1.29,False,7,True,17,-0.15,5m,5m,FARTCOINUSDT,1.0,0.0,-0.5489055412499994,2.195622165000003,0.0,-0.5489055412499994,0.0223305412499999,0.0749999999999955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[32, 143, 243]",[5.3],[100.0]
13,Random (Initial Phase),,True,0.057,0.049,0.0,1.0,False,False,1.0,False,False,short,3.94,44.09,490,2,True,True,True,False,bearish,False,26,75,237,10,0.99,5,13,74,45,94,13,58,3.57,0.57,0.4763,True,20,0.95,True,49,3.82,True,13,55,15,True,13,27.4,True,True,0.54,False,7,True,31,-0.23,5m,5m,FARTCOINUSDT,8.0,0.25,-5.829736240713744,28.14116334785497,0.2925803198276611,-0.728717030089218,0.1791408845897441,0.0749999999999983,0.0,4.0,2.0,2.0,0.0,0.0,0.0,50.0,25.0,25.0,0.0,0.0,0.0,"[43, 93, 297]",[4.9],[100.0]
14,Random (Initial Phase),,False,0.99,1.0,1.1,1.42,False,True,2.8,False,False,both,3.35,37.67,568,7,True,True,True,False,bullish,False,20,134,168,11,1.18,6,13,85,16,92,9,57,4.74,1.33,0.4892,True,7,0.47,False,45,3.55,True,18,38,15,True,9,26.8,False,False,1.0,False,7,True,31,0.15,5m,5m,FARTCOINUSDT,230.0,0.408695652173913,-32.710009212862204,130.08665144926383,0.3423307224989137,-0.1422174313602704,4.052992534608356,0.0668478260869556,0.0,150.0,53.0,5.0,0.0,0.0,0.0,72.11538461538461,25.48076923076923,2.403846153846154,0.0,0.0,0.0,"[33, 57, 187]","[1.3, 2.3, 5.9]","[33.33, 33.33, 33.33]"
15,Random (Initial Phase),,True,0.072,0.023,0.0,1.0,False,False,1.0,False,False,short,4.64,29.64,439,4,True,True,True,False,bearish,False,7,116,159,19,1.01,10,7,83,36,88,7,39,2.63,2.58,0.704,False,36,0.6438,True,14,3.59,False,20,58,13,True,39,22.8,False,False,1.0,True,7,True,13,-0.21,5m,5m,FARTCOINUSDT,58.0,0.603448275862069,-0.2513734009723758,18.958465699720485,0.9860076899057776,-0.0043340241546961,1.3097411803476078,0.0749999999999981,0.0,3.0,31.0,24.0,0.0,0.0,0.0,5.172413793103448,53.44827586206896,41.37931034482759,0.0,0.0,0.0,"[15, 142, 237]",[2.3],[100.0]
16,ML-Guided,,False,0.99,1.0,0.34,5.12,True,True,5.29,False,False,long,4.79,27.4,65,8,False,True,True,False,bullish,False,8,37,142,5,1.64,3,29,80,41,97,19,46,1.84,2.85,0.1477,False,36,0.6438,False,45,3.55,False,20,58,13,False,27,39.4,True,False,1.0,True,7,True,28,-0.28,5m,5m,FARTCOINUSDT,41.0,0.5609756097560976,-7.493221964774853,35.5948496250772,0.3759131237355506,-0.182761511335972,0.4943286281548266,0.0640243902439002,0.0,5.0,23.0,13.0,0.0,0.0,0.0,12.195121951219512,56.09756097560976,31.70731707317073,0.0,0.0,0.0,"[16, 130, 219]","[1.1, 3.9, 5.3]","[33.33, 33.33, 33.33]"
17,ML-Guided,,False,0.99,1.0,1.35,4.49,True,False,1.06,False,False,both,4.49,8.43,283,2,False,True,True,False,bullish,False,7,147,115,14,4.47,7,17,79,27,98,21,60,2.09,0.5,0.4103,False,36,0.6438,True,36,3.4,True,16,40,14,True,37,22.0,True,True,0.8,True,8,True,12,0.23,5m,5m,FARTCOINUSDT,63.0,0.4126984126984127,-20.29486209441468,85.61728360706337,0.4742130781035062,-0.3221406681653123,1.4139999502342022,0.0749999999999973,0.0,29.0,26.0,8.0,0.0,0.0,0.0,46.03174603174603,41.26984126984127,12.698412698412698,0.0,0.0,0.0,"[14, 133, 180]",[2.9],[100.0]
18,ML-Guided,,True,0.061,0.073,0.0,1.0,False,False,1.0,False,False,long,3.94,18.51,133,1,True,True,True,False,bearish,False,15,91,128,13,4.74,10,23,65,38,89,19,33,1.87,1.9,0.1753,False,36,0.6438,False,45,3.55,True,21,57,16,False,27,39.4,True,False,1.0,True,9,False,35,-0.1,5m,5m,FARTCOINUSDT,6.0,0.5,-0.8779196107019956,12.411633529999987,0.8110558390239074,-0.1463199351169992,0.1345312852535481,0.0749999999999985,0.0,3.0,2.0,1.0,0.0,0.0,0.0,50.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0,"[10, 148, 275]",[7.3],[100.0]
19,ML-Guided,,True,0.044,0.025,0.0,1.0,False,False,1.0,False,False,long,3.55,48.49,60,8,True,True,True,False,bearish,False,13,84,114,3,4.06,3,15,60,21,88,10,46,0.89,1.29,0.2331,True,24,0.86,True,12,3.42,False,20,58,13,False,27,39.4,True,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,190.0,0.6421052631578947,-2.154780686135201,48.14208694891823,0.9714786665807128,-0.0113409509796589,4.263881782993586,0.0749999999999993,0.0,66.0,122.0,2.0,0.0,0.0,0.0,34.73684210526316,64.21052631578948,1.0526315789473684,0.0,0.0,0.0,"[38, 135, 269]",[2.5],[100.0]
20,ML-Guided,,False,0.99,1.0,0.31,2.53,False,True,6.43,False,False,both,4.29,29.25,116,8,True,True,True,False,bearish,False,11,102,163,12,0.32,8,12,85,45,95,27,27,2.4,0.75,0.1943,True,5,0.22,True,22,3.53,False,20,58,13,False,27,39.4,False,False,1.0,True,10,False,35,-0.1,5m,5m,FARTCOINUSDT,515.0,0.5805825242718446,-42.874595084326174,167.33269599484723,0.5789675151272743,-0.0832516409404391,7.587395141814047,0.0738349514563082,0.0,245.0,213.0,49.0,0.0,0.0,0.0,48.32347140039448,42.01183431952663,9.664694280078894,0.0,0.0,0.0,"[17, 70, 253]","[0.7, 5.5]","[50.0, 50.0]"
