trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,enable_trailing_take_profit,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
1,Random (Initial Phase),,False,0.99,1.0,0.65,3.62,1.45,3.29,False,True,False,False,both,3.27,23.48,410,9,False,True,True,False,bullish,False,20,70,111,3,1.72,3,28,67,28,79,6,42,1.81,1.72,0.7973,True,10,0.3242,False,11,1.73,False,20,58,13,True,23,18.8,True,False,0.89,False,11,True,31,-0.2,5m,5m,,87.0,0.6666666666666666,47.98602321234642,30.591239672812044,1.62728527070495,0.5515634851993841,13.049550347232982,0.4999999999999924,0.0,45.0,37.0,0.0,32.0,0.0,0.0,39.47368421052632,32.45614035087719,0.0,28.07017543859649,0.0,0.0,"[34, 119, 186]","[1.1, 2.2, 4.6]","[33.33, 33.33, 33.33]"
1,Random (Initial Phase),,False,0.99,1.0,0.65,3.62,1.45,3.29,False,True,False,False,both,3.27,23.48,410,9,False,True,True,False,bullish,False,20,70,111,3,1.72,3,28,67,28,79,6,42,1.81,1.72,0.7973,True,10,0.3242,False,11,1.73,False,20,58,13,True,23,18.8,True,False,0.89,False,11,True,31,-0.2,5m,5m,,234.0,0.6452991452991453,-183.58814078793208,734.3525631517284,0.553591291991712,-0.7845647042219319,25.870256029282043,0.6730769230769218,0.0,52.0,148.0,32.0,27.0,0.0,0.0,20.07722007722008,57.14285714285714,12.355212355212355,10.424710424710424,0.0,0.0,"[34, 119, 186]","[1.1, 2.2, 4.6]","[33.33, 33.33, 33.33]"
2,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0561,0.0681,0.0,1.0,0.1,1.0,False,False,False,False,short,1.43,26.1,711,10,True,True,True,False,bearish,False,20,79,125,5,4.41,8,17,84,17,86,5,48,2.11,1.26,0.3232,False,36,0.6438,True,29,1.78,True,20,28,11,False,35,32.2,True,False,0.89,True,12,True,22,-0.01,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[10, 102, 278]",[6.8],[100.0]
3,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0421,0.0491,0.0,1.0,0.1,1.0,False,False,False,False,long,0.73,9.72,351,1,True,True,True,False,bullish,False,19,77,74,18,1.98,9,20,68,34,78,11,21,2.32,1.57,0.5451,False,36,0.6438,True,13,2.14,True,17,59,18,True,13,25.8,True,False,0.89,True,8,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[23, 141, 234]",[4.9],[100.0]
4,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0427,0.0517,0.0,1.0,0.1,1.0,False,False,False,False,short,0.52,23.35,696,3,True,True,True,False,bearish,False,4,93,155,9,4.89,6,25,76,29,83,7,11,4.45,2.83,0.6692,True,33,0.1405,False,11,1.73,True,11,56,11,True,19,30.2,True,True,0.91,False,11,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[13, 91, 231]",[5.2],[100.0]
5,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.99,3.72,0.67,1.0,False,False,False,False,long,2.14,26.92,475,6,False,True,True,False,bearish,False,27,37,131,15,4.34,1,9,85,16,94,1,50,4.15,2.77,0.0662,True,14,0.6161,True,40,3.88,True,23,57,20,False,35,32.2,False,True,2.1,True,17,True,10,0.25,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[29, 101, 219]","[2.7, 4.2]","[50.0, 50.0]"
6,Random (Initial Phase),,False,0.99,1.0,0.11,5.65,0.53,1.69,True,True,False,False,both,1.81,37.58,608,3,True,True,True,False,bearish,False,25,93,245,15,4.01,10,30,66,34,89,3,21,4.22,1.32,0.6772,False,36,0.6438,False,11,1.73,False,20,58,13,True,34,22.0,True,False,0.89,True,11,False,1,0.0,5m,5m,,5.0,0.8,-5.051304436752488,30.61987932710972,0.349045622258687,-1.0102608873504977,0.4455971554647063,0.4499999999999989,0.0,1.0,4.0,0.0,1.0,0.0,0.0,16.666666666666664,66.66666666666666,0.0,16.666666666666664,0.0,0.0,"[45, 70, 158]","[0.5, 2.1, 4.9]","[33.33, 33.33, 33.33]"
7,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0615,0.0698,0.0,1.0,0.1,1.0,False,False,False,False,both,1.2,41.35,691,1,True,True,True,False,bullish,False,9,85,181,4,1.73,9,15,62,16,98,15,45,4.33,1.2,0.5982,True,3,0.3391,True,17,2.4,True,20,33,19,False,35,32.2,False,True,1.32,False,11,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[40, 114, 183]",[7.0],[100.0]
8,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0286,0.0323,0.0,1.0,0.1,1.0,False,False,False,False,short,2.18,49.45,522,5,True,True,True,False,bullish,False,26,34,91,20,1.55,4,29,65,16,86,11,31,1.16,2.22,0.8443,True,34,0.2421,False,11,1.73,True,22,42,10,False,35,32.2,False,True,0.53,True,14,True,35,0.16,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[26, 68, 164]",[3.2],[100.0]
9,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0174,0.0518,0.0,1.0,0.1,1.0,False,False,False,False,both,1.94,40.51,367,3,False,True,True,False,bullish,False,24,59,214,5,1.96,1,8,64,45,92,29,32,4.83,2.9,0.0671,True,3,0.4783,True,14,3.27,False,20,58,13,False,35,32.2,True,True,1.21,True,17,True,22,0.26,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[36, 80, 292]",[5.2],[100.0]
