trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
1,Random (Initial Phase),,True,0.036,0.035,0.0,1.0,0.1,1.0,False,False,False,both,3.9,32.63,410,8,True,True,True,False,bearish,False,27,107,156,19,4.42,8,19,58,36,92,27,12,2.24,0.97,0.131,True,33,0.91,False,11,1.73,False,20,58,13,False,35,32.2,True,True,1.6,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,13.0,0.4615384615384615,5.375344764792903,123.283038,1.1011817713612968,0.4134880588302233,2.9124954718934912,0.7499999999999954,0.0,6.0,6.0,1.0,0.0,0.0,0.0,46.15384615384615,46.15384615384615,7.6923076923076925,0.0,0.0,0.0,"[23, 79, 231]",False,[3.5],[100.0]
2,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.048,0.021,0.0,1.0,0.1,1.0,False,False,False,long,1.95,49.31,633,1,True,True,True,False,bearish,False,11,49,231,6,3.82,4,22,55,37,85,23,21,0.89,1.47,0.8219,False,36,0.6438,False,11,1.73,True,15,29,20,True,25,30.4,False,True,0.83,True,19,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[28, 146, 158]",False,[2.1],[100.0]
3,Random (Initial Phase),,False,0.99,1.0,0.71,2.73,0.44,5.87,False,False,False,long,1.22,48.95,450,7,False,True,True,False,bearish,False,15,128,182,9,2.94,1,27,68,41,79,14,45,3.55,0.96,0.706,True,2,0.75,True,32,3.23,False,20,58,13,False,35,32.2,True,True,2.12,True,10,False,1,0.0,5m,5m,CHILLGUYUSDT,2.0,0.0,-11.478848550276446,45.9153942011058,0.0,-5.739424275138223,0.448802593180693,0.7499999999999916,0.0,2.0,0.0,0.0,1.0,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,"[22, 97, 154]",True,"[1.3, 1.5, 2.6]","[33.33, 33.33, 33.33]"
4,Random (Initial Phase),,True,0.036,0.042,0.0,1.0,0.1,1.0,False,False,False,long,1.79,29.85,619,9,True,True,True,False,bearish,False,9,143,136,12,2.28,1,13,70,37,94,5,29,4.24,2.0,0.2495,True,25,0.22,False,11,1.73,True,16,36,6,True,35,21.0,False,True,1.8,True,24,True,28,0.2,5m,5m,CHILLGUYUSDT,9.0,0.5555555555555556,18.019898000000065,61.95831899999995,1.5816780794198138,2.002210888888896,2.040102,0.7499999999999702,0.0,4.0,5.0,0.0,0.0,0.0,0.0,44.44444444444444,55.55555555555556,0.0,0.0,0.0,0.0,"[42, 53, 273]",False,[4.2],[100.0]
5,Random (Initial Phase),,True,0.04,0.031,0.0,1.0,0.1,1.0,False,False,False,long,2.12,30.4,556,4,True,True,True,False,bearish,False,19,65,148,4,4.66,9,13,78,37,90,9,34,2.32,1.17,0.3554,False,36,0.6438,False,11,1.73,True,16,46,19,False,35,32.2,False,True,0.82,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,18.0,0.4444444444444444,0.6749190399158804,58.958470412616805,1.0087144913007196,0.0374955022175489,4.064282640756302,0.7499999999999698,0.0,9.0,5.0,1.0,0.0,0.0,0.0,60.0,33.33333333333333,6.666666666666667,0.0,0.0,0.0,"[22, 136, 272]",False,[3.1],[100.0]
6,Random (Initial Phase),,False,0.99,1.0,0.91,4.56,0.41,5.89,True,False,False,short,4.34,15.51,272,1,True,True,True,False,bullish,False,26,55,59,20,0.67,2,17,77,32,94,12,43,3.98,0.53,0.1467,True,11,0.72,True,17,2.67,True,22,60,16,True,39,16.5,True,False,0.89,True,18,False,1,0.0,5m,5m,CHILLGUYUSDT,33.0,0.6363636363636364,-28.670729498626383,137.56567132260923,0.587949646528961,-0.8688099848068601,3.6004816115491844,0.6590909090909108,0.0,7.0,20.0,6.0,3.0,0.0,0.0,19.444444444444446,55.55555555555556,16.666666666666664,8.333333333333332,0.0,0.0,"[21, 126, 238]",True,"[1.3, 3.0, 4.4]","[33.33, 33.33, 33.33]"
7,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.03,0.062,0.0,1.0,0.1,1.0,False,False,False,short,3.24,17.7,461,3,False,True,True,False,bearish,False,4,92,106,10,3.27,8,23,85,40,86,16,41,3.4,1.25,0.9205,True,31,0.87,True,38,2.41,True,19,39,13,False,35,32.2,True,True,1.18,True,15,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[40, 80, 190]",False,[6.2],[100.0]
8,Random (Initial Phase),,True,0.028,0.043,0.0,1.0,0.1,1.0,False,False,False,short,2.12,30.25,157,8,False,True,True,False,bearish,False,26,75,70,16,0.34,5,16,74,34,81,22,22,4.97,1.06,0.3533,True,19,0.69,True,15,3.63,False,20,58,13,False,35,32.2,False,True,2.04,False,11,True,28,0.23,5m,5m,CHILLGUYUSDT,49.0,0.4693877551020408,34.108483012881706,55.8940016981529,1.210754019608646,0.6960914900588103,11.073873359991088,0.7499999999999788,0.0,16.0,17.0,16.0,0.0,0.0,0.0,32.6530612244898,34.69387755102041,32.6530612244898,0.0,0.0,0.0,"[26, 132, 257]",False,[4.3],[100.0]
9,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.061,0.053,0.0,1.0,0.1,1.0,False,False,False,long,0.53,11.64,562,1,False,True,True,False,bullish,False,26,42,61,20,3.87,3,22,57,16,80,10,24,4.17,2.33,0.2466,True,5,0.41,False,11,1.73,False,20,58,13,False,35,32.2,True,False,0.89,True,18,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[46, 141, 202]",False,[5.3],[100.0]
10,Random (Initial Phase),,True,0.043,0.056,0.0,1.0,0.1,1.0,False,False,False,both,2.82,16.45,174,5,True,True,True,False,bearish,False,6,107,246,16,1.15,7,20,66,33,95,23,20,1.25,2.14,0.5154,True,12,0.03,True,45,3.78,False,20,58,13,False,35,32.2,False,False,0.89,True,23,False,1,0.0,5m,5m,CHILLGUYUSDT,174.0,0.4080459770114942,-36.21294937886939,410.0679382859138,0.9503806429411042,-0.2081203987291344,39.09816443714013,0.749999999999991,0.0,83.0,71.0,20.0,0.0,0.0,0.0,47.70114942528736,40.80459770114943,11.494252873563218,0.0,0.0,0.0,"[49, 142, 205]",False,[5.6],[100.0]
11,Random (Initial Phase),,True,0.048,0.065,0.0,1.0,0.1,1.0,False,False,False,short,2.64,42.28,430,6,False,True,True,False,bearish,False,17,68,52,11,0.87,8,21,83,25,92,8,53,2.13,1.99,0.907,True,37,0.3,False,11,1.73,False,20,58,13,True,26,23.7,True,False,0.89,True,16,True,10,-0.19,5m,5m,CHILLGUYUSDT,126.0,0.3968253968253968,-90.90685016143216,314.1818997285843,0.8326924563908455,-0.7214829377891442,28.27687273983972,0.7500000000000027,0.0,62.0,46.0,18.0,0.0,0.0,0.0,49.2063492063492,36.507936507936506,14.285714285714285,0.0,0.0,0.0,"[14, 131, 259]",False,[6.5],[100.0]
12,Random (Initial Phase),,False,0.99,1.0,0.75,1.48,0.68,1.0,True,False,False,long,2.53,27.65,462,7,True,True,True,False,bearish,False,4,142,211,4,0.05,3,17,85,33,96,8,55,3.31,1.96,0.4387,True,10,0.69,True,13,2.52,False,20,58,13,False,35,32.2,True,False,0.89,True,29,False,1,0.0,5m,5m,CHILLGUYUSDT,110.0,0.3181818181818182,-157.1357814302455,628.5431257209821,0.4053702347688802,-1.4285071039113226,22.039440073222675,0.7295454545454579,0.0,83.0,18.0,9.0,25.0,0.0,0.0,61.48148148148148,13.333333333333334,6.666666666666667,18.51851851851852,0.0,0.0,"[41, 143, 274]",False,"[2.5, 4.3]","[50.0, 50.0]"
13,Random (Initial Phase),,True,0.019,0.04,0.0,1.0,0.1,1.0,False,False,False,long,1.57,49.89,367,2,True,True,True,False,bearish,False,9,102,181,17,0.68,4,12,79,42,96,8,50,1.85,1.44,0.272,True,30,0.43,False,11,1.73,False,20,58,13,True,17,17.9,True,False,0.89,True,23,False,1,0.0,5m,5m,CHILLGUYUSDT,128.0,0.3828125,-62.37667835838322,271.17382286854775,0.8827621661680842,-0.4873177996748689,28.737724029448017,0.7500000000000008,0.0,53.0,48.0,27.0,0.0,0.0,0.0,41.40625,37.5,21.09375,0.0,0.0,0.0,"[35, 109, 218]",False,[4.0],[100.0]
14,Random (Initial Phase),,True,0.064,0.058,0.0,1.0,0.1,1.0,False,False,False,short,1.68,42.96,606,2,False,True,True,False,bearish,False,18,150,205,8,1.84,9,26,75,25,88,7,22,3.23,1.97,0.913,False,36,0.6438,False,11,1.73,True,11,27,19,False,35,32.2,False,False,0.89,True,9,False,1,0.0,5m,5m,CHILLGUYUSDT,143.0,0.3776223776223776,-146.79670211868134,411.7355842941572,0.7822971297489688,-1.026550364466303,32.1578940621103,0.7499999999999908,0.0,84.0,54.0,3.0,0.0,0.0,0.0,59.57446808510638,38.297872340425535,2.127659574468085,0.0,0.0,0.0,"[48, 51, 161]",False,[5.8],[100.0]
15,Random (Initial Phase),,False,0.99,1.0,0.35,2.33,0.17,1.0,False,False,False,both,0.68,38.68,679,1,True,True,True,False,bullish,False,17,109,146,8,2.96,2,13,80,39,92,22,47,2.34,1.88,0.1074,True,34,0.96,True,33,3.42,True,7,55,10,False,35,32.2,False,True,0.74,True,5,True,19,-0.05,5m,5m,CHILLGUYUSDT,53.0,0.2264150943396225,-58.99888314810365,254.2922978626942,0.6933096251353286,-1.1131864744925215,11.035932178216497,0.6933962264150751,0.0,44.0,8.0,1.0,22.0,0.0,0.0,58.66666666666666,10.666666666666668,1.3333333333333337,29.33333333333333,0.0,0.0,"[27, 116, 204]",False,"[4.4, 4.5]","[50.0, 50.0]"
16,ML-Guided,,True,0.027,0.016,0.0,1.0,0.1,1.0,False,False,False,long,1.13,6.63,239,12,True,True,True,False,bearish,False,3,58,121,15,0.58,6,15,67,23,96,3,14,1.56,2.78,0.8868,False,36,0.6438,False,11,1.73,True,14,57,20,True,29,30.6,False,True,1.35,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,33.0,0.303030303030303,-38.14342873794384,235.4545013725977,0.7197229923819554,-1.1558614769073892,7.429475630147216,0.7499999999999741,0.0,10.0,10.0,13.0,0.0,0.0,0.0,30.303030303030305,30.303030303030305,39.39393939393939,0.0,0.0,0.0,"[29, 73, 275]",False,[1.6],[100.0]
17,ML-Guided,,True,0.019,0.039,0.0,1.0,0.1,1.0,False,False,False,long,3.01,6.13,593,9,False,True,True,False,bullish,False,25,124,217,7,3.1,10,27,73,26,96,12,36,0.89,2.1,0.4608,True,21,0.24,True,25,3.25,False,20,58,13,False,35,32.2,False,True,1.02,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,72.0,0.4861111111111111,66.48583660379495,92.93747850000008,1.240578121250852,0.92341439727493,16.260246487391033,0.7499999999999747,0.0,34.0,34.0,2.0,0.0,0.0,0.0,48.57142857142857,48.57142857142857,2.857142857142857,0.0,0.0,0.0,"[40, 115, 175]",False,[3.9],[100.0]
