trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,enable_trailing_take_profit,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
1,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0295,0.0369,0.0,1.0,0.1,1.0,False,False,False,False,short,1.12,5.38,446,10,False,True,True,False,bearish,False,10,147,83,20,4.71,6,13,72,16,87,2,12,3.9,0.71,0.6003,False,36,0.6438,True,19,1.53,False,20,58,13,False,14,27.5,False,True,2.38,True,17,True,17,0.02,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[27, 95, 184]",[3.7],[100.0]
2,Random (Initial Phase),,False,0.99,1.0,0.4,0.99,0.32,1.0,True,False,False,False,both,1.73,12.4,302,8,False,True,True,False,bullish,False,25,149,136,4,0.26,2,22,72,35,82,5,28,2.87,0.85,0.434,True,7,0.3571,True,30,3.33,False,20,58,13,False,14,27.5,True,False,0.89,False,11,False,1,0.0,5m,5m,,72.0,0.2361111111111111,-114.22849031206847,458.9042358836527,0.1286335921378421,-1.5865068098898398,14.61203875528282,0.6979166666666514,0.0,58.0,7.0,0.0,13.0,0.0,0.0,74.35897435897436,8.974358974358974,0.0,16.666666666666664,0.0,0.0,"[42, 83, 152]","[0.7, 4.2]","[50.0, 50.0]"
3,Random (Initial Phase),,False,0.99,1.0,0.69,5.39,0.86,1.0,True,False,False,False,long,0.6,8.8,285,5,True,True,True,False,bearish,False,21,75,73,7,1.49,10,9,60,36,78,19,56,1.62,0.61,0.9723,True,2,0.7007,False,21,2.5,True,5,51,5,False,14,27.5,False,True,1.04,True,18,False,1,0.0,5m,5m,,23.0,0.782608695652174,3.0419657011684462,105.0293664656654,1.0617872434804805,0.1322593783116716,5.194231288645415,0.7499999999999709,0.0,1.0,9.0,13.0,0.0,0.0,0.0,4.3478260869565215,39.130434782608695,56.52173913043478,0.0,0.0,0.0,"[14, 66, 258]",[1.4],[100.0]
4,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.78,4.4,0.17,3.54,False,True,False,False,short,3.77,28.31,260,3,True,True,True,False,bullish,False,11,58,182,16,4.47,8,14,84,41,91,21,22,4.47,2.4,0.9933,True,37,0.1671,False,21,2.5,False,20,58,13,False,14,27.5,True,False,0.89,False,11,True,12,-0.26,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[47, 102, 195]","[1.0, 2.0, 2.8]","[33.33, 33.33, 33.33]"
5,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0354,0.0289,0.0,1.0,0.1,1.0,False,False,False,False,short,3.7,27.03,306,11,True,True,True,False,bullish,False,7,125,223,11,2.33,3,13,70,40,84,25,37,3.38,1.18,0.5782,True,4,0.1897,True,50,2.2,True,13,55,19,True,20,19.2,True,True,1.2,False,11,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[14, 107, 210]",[2.9],[100.0]
6,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0374,0.02,0.0,1.0,0.1,1.0,False,False,False,False,short,4.92,32.03,505,12,False,True,True,False,bearish,False,10,76,160,13,1.03,2,16,56,35,98,23,34,1.49,0.61,0.4185,True,31,0.2244,False,21,2.5,True,6,60,7,False,14,27.5,True,False,0.89,True,17,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[39, 129, 162]",[2.0],[100.0]
7,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,True,0.0351,0.0234,0.0,1.0,0.1,1.0,False,False,False,False,short,1.68,39.95,200,5,False,True,True,False,bullish,False,26,94,88,14,3.32,2,24,78,36,94,6,51,1.11,2.66,0.5117,True,4,0.4349,True,18,2.16,False,20,58,13,True,22,40.0,False,False,0.89,True,15,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[33, 63, 164]",[2.3],[100.0]
8,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.74,3.66,0.34,2.19,True,True,False,False,both,0.79,17.2,522,12,False,True,True,False,bullish,False,23,103,79,4,2.01,6,30,63,44,95,4,17,4.44,0.81,0.5765,False,36,0.6438,True,49,1.84,True,19,30,11,True,32,23.1,True,False,0.89,False,11,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[39, 87, 264]","[2.3, 2.4, 3.3]","[33.33, 33.33, 33.33]"
9,Random (Initial Phase),,False,0.99,1.0,0.36,0.56,0.1,4.0,True,True,False,False,both,3.94,27.92,509,12,True,True,True,False,bullish,False,24,65,146,3,1.11,8,13,71,40,82,27,34,3.66,2.57,0.9117,True,32,0.4947,True,38,2.75,False,20,58,13,True,20,19.2,False,True,1.88,True,19,False,1,0.0,5m,5m,,4.0,0.0,-6.51697244000006,26.067889760000227,0.0,-1.629243110000015,0.9001724399999999,0.7499999999999785,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[33, 74, 275]","[1.0, 1.2, 2.0]","[33.33, 33.33, 33.33]"
10,Random (Initial Phase),No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.81,0.68,0.07,1.0,True,False,False,False,both,4.0,28.51,351,6,True,True,True,False,bearish,False,30,119,218,17,1.59,1,20,57,42,83,22,12,4.99,0.91,0.2128,True,3,0.3199,True,32,3.03,True,8,36,11,True,9,34.0,True,True,2.04,False,11,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[29, 138, 287]","[1.7, 4.5]","[50.0, 50.0]"
