trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,enable_trailing_take_profit,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
FARTCOINUSDT
243,ML-Guided,,False,0.99,1.0,0.52,0.26,0.7,1.0,True,False,False,False,long,1.35,29.59,551,10,True,True,True,False,bearish,False,12,43,158,6,1.63,9,25,82,21,98,3,33,1.77,2.98,0.1123,True,26,0.7152,False,21,2.5,False,20,58,13,True,19,25.9,False,False,0.89,False,11,False,1,0.0,5m,5m,,86.0,0.3372093023255814,74.8365475723691,16.883079024083077,2.5004134918261967,0.8701924136321988,19.37004522286759,0.7499999999999866,0.0,77.0,0.0,0.0,20.0,0.0,0.0,79.38144329896907,0.0,0.0,20.61855670103093,0.0,0.0,"[27, 106, 210]",[3.1],[100.0]
618,ML-Guided,,False,0.99,1.0,0.36,0.66,1.01,1.0,True,False,False,False,short,2.75,23.51,692,3,True,True,True,False,bearish,False,8,123,184,4,3.46,9,10,71,23,97,15,59,1.48,0.4,0.4509,True,27,0.6879,False,21,2.5,True,25,29,9,True,30,27.4,False,False,0.89,False,11,True,32,-0.24,5m,5m,,129.0,0.4806201550387597,73.4805216344507,15.881042112406426,1.711030990597773,0.5696164467786876,28.89295058122324,0.7500000000000021,0.0,125.0,1.0,0.0,68.0,0.0,0.0,64.43298969072166,0.5154639175257731,0.0,35.051546391752574,0.0,0.0,"[28, 77, 173]",[3.0],[100.0]
434,ML-Guided,,False,0.99,1.0,0.12,1.56,0.98,0.98,True,True,False,False,long,0.99,31.47,632,3,True,True,True,False,bullish,False,7,84,153,3,4.61,10,16,55,29,84,20,10,1.99,0.74,0.3564,False,36,0.6438,True,11,1.73,False,20,58,13,True,35,32.2,False,False,0.89,False,11,False,1,0.0,5m,5m,,63.0,0.7936507936507936,66.16529603778356,17.141118713719848,2.9266844216790657,1.0502427942505328,8.542598382461021,0.4761904761904684,0.0,27.0,32.0,0.0,21.0,0.0,0.0,33.75,40.0,0.0,26.25,0.0,0.0,"[38, 120, 296]","[1.6, 3.6, 3.6]","[33.33, 33.33, 33.33]"
228,ML-Guided,,False,0.99,1.0,0.28,4.06,0.18,5.0,False,True,False,False,short,1.02,31.13,526,4,True,True,True,False,bearish,False,10,59,171,18,0.57,5,24,57,21,76,5,10,1.09,1.93,0.2267,False,36,0.6438,False,21,2.5,True,16,53,19,True,31,31.0,True,False,0.89,False,11,True,5,-0.06,5m,5m,,63.0,0.9047619047619048,54.63131774983926,33.705730229698986,3.260958761291299,0.8671637738069724,5.128954254300407,0.5476190476190476,0.0,4.0,56.0,1.0,2.0,0.0,0.0,6.349206349206349,88.88888888888889,1.5873015873015872,3.1746031746031744,0.0,0.0,"[32, 90, 171]","[0.6, 1.9, 3.1]","[33.33, 33.33, 33.33]"
672,ML-Guided,,False,0.99,1.0,0.2,0.48,0.36,1.0,True,False,False,False,both,4.69,25.06,688,1,True,True,True,False,bearish,False,25,40,165,9,0.95,9,13,76,38,87,8,57,2.6,0.47,0.9658,False,36,0.6438,True,44,3.91,True,14,53,11,True,23,18.0,False,False,0.89,False,11,False,1,0.0,5m,5m,,53.0,0.3962264150943396,52.95005979037304,14.921296014236772,2.377205697362167,0.999057731893831,11.962449532872988,0.7499999999999769,0.0,51.0,0.0,0.0,27.0,0.0,0.0,65.38461538461539,0.0,0.0,34.61538461538461,0.0,0.0,"[44, 148, 222]",[5.0],[100.0]
182,ML-Guided,,False,0.99,1.0,0.55,3.79,0.57,1.0,True,False,False,False,long,4.98,45.36,239,2,False,True,True,False,bearish,False,9,56,209,16,0.23,9,30,80,45,88,30,36,4.71,2.73,0.281,False,36,0.6438,False,21,2.5,False,20,58,13,True,32,16.2,True,False,0.89,False,11,False,1,0.0,5m,5m,,34.0,0.6764705882352942,39.91416837709844,55.73445814692587,1.7638724750592387,1.1739461287381894,4.753117832267799,0.5955882352941015,0.0,11.0,21.0,2.0,8.0,0.0,0.0,26.1904761904762,50.0,4.761904761904762,19.047619047619047,0.0,0.0,"[11, 134, 152]","[2.7, 4.9]","[50.0, 50.0]"
515,ML-Guided,,False,0.99,1.0,0.1,5.85,0.12,1.0,True,False,False,False,short,1.87,13.2,222,8,False,True,True,False,bearish,False,21,129,232,12,3.8,7,26,74,20,90,4,18,3.55,0.45,0.115,True,35,0.4653,True,15,3.82,True,25,42,20,True,27,26.3,False,False,0.89,True,14,True,13,-0.12,5m,5m,,17.0,0.7647058823529411,29.09181236504204,37.83883654787966,1.6823429925077686,1.7112830802965906,3.810264823079543,0.7499999999999964,0.0,4.0,13.0,0.0,4.0,0.0,0.0,19.047619047619047,61.90476190476191,0.0,19.047619047619047,0.0,0.0,"[13, 54, 177]",[2.3],[100.0]
628,ML-Guided,,False,0.99,1.0,0.78,5.86,0.53,1.0,True,False,False,False,long,2.91,20.03,710,11,True,True,True,False,bearish,False,22,54,150,5,4.62,10,5,56,39,91,3,10,0.87,0.81,0.2859,False,36,0.6438,True,32,2.73,False,20,58,13,True,20,28.0,True,False,0.89,True,18,True,36,0.26,5m,5m,,4.0,1.0,29.01578522663711,0.0,1000.0,7.253946306659277,0.8923721208063493,0.7499999999999916,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,"[26, 74, 188]",[4.7],[100.0]
148,ML-Guided,,False,0.99,1.0,0.12,5.09,1.35,1.0,True,False,False,False,long,1.0,48.2,91,12,True,True,True,False,bearish,False,27,81,193,4,1.48,4,6,81,34,93,5,32,2.38,1.96,0.813,True,11,0.6675,True,34,3.24,True,22,29,16,True,23,22.6,False,True,1.98,False,11,True,16,0.05,5m,5m,,106.0,0.7547169811320755,28.808412327404508,81.29284566557423,1.1833598019372853,0.271777474786835,14.236964577008113,0.7004716981131837,0.0,21.0,63.0,22.0,14.0,0.0,0.0,17.5,52.5,18.33333333333333,11.666666666666666,0.0,0.0,"[15, 130, 243]","[0.5, 3.9]","[50.0, 50.0]"
