trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
608,ML-Guided,,False,0.99,1.0,0.97,5.39,1.18,1.82,False,False,False,short,2.55,16.56,245,6,True,True,True,False,bullish,False,13,133,195,10,0.53,8,8,76,36,83,5,36,1.42,2.72,0.1722,False,36,0.6438,True,29,1.53,False,20,58,13,False,27,39.4,False,True,0.31,False,11,False,35,-0.1,5m,5m,PARTIUSDT,66.0,0.7878787878787878,57.22734894661029,41.1751982302099,1.8596853456667823,0.8670810446456105,8.070522773364878,0.5568181818181748,0.0,1.0,45.0,20.0,0.0,0.0,0.0,1.5151515151515151,68.18181818181817,30.303030303030305,0.0,0.0,0.0,"[42, 147, 200]",True,"[2.6, 2.6, 4.8]","[33.33, 33.33, 33.33]"
572,ML-Guided,,False,0.99,1.0,0.53,5.79,1.21,1.0,False,False,False,short,3.78,19.63,30,4,True,True,True,False,bearish,False,12,60,88,12,1.84,9,10,84,36,95,21,44,1.53,1.49,0.861,True,11,0.4,True,40,2.25,False,20,58,13,True,7,32.7,False,False,2.29,True,24,True,9,-0.17,5m,5m,PARTIUSDT,16.0,0.625,40.47328953450133,52.44927411268716,1.8064431476003515,2.5295805959063333,3.5938057939797234,0.7499999999999823,0.0,2.0,7.0,7.0,2.0,0.0,0.0,11.11111111111111,38.88888888888889,38.88888888888889,11.11111111111111,0.0,0.0,"[11, 86, 255]",False,[4.2],[100.0]
138,ML-Guided,,False,0.99,1.0,0.58,4.25,0.33,2.16,True,False,False,short,1.77,49.7,466,12,False,True,True,False,bullish,False,16,79,202,9,1.93,5,26,72,18,79,3,54,1.39,0.64,0.1644,False,36,0.6438,False,35,1.59,False,20,58,13,True,7,18.0,True,False,2.29,False,11,True,34,-0.18,5m,5m,PARTIUSDT,74.0,0.7702702702702703,39.23992266158248,59.961415680884485,1.297679277291821,0.5302692251565201,8.05441754690618,0.527027027027026,0.0,14.0,56.0,3.0,8.0,0.0,0.0,17.28395061728395,69.1358024691358,3.7037037037037033,9.876543209876544,0.0,0.0,"[13, 137, 215]",True,"[3.1, 4.0, 4.4]","[33.33, 33.33, 33.33]"
556,ML-Guided,,False,0.99,1.0,0.28,5.86,1.02,1.0,True,False,False,both,3.59,23.77,539,11,False,True,True,False,bearish,False,29,78,231,20,2.2,10,7,63,33,93,18,39,0.98,1.29,0.1101,False,36,0.6438,True,45,3.55,False,20,58,13,False,27,39.4,False,True,1.0,True,7,False,35,-0.1,5m,5m,PARTIUSDT,10.0,1.0,37.74994600000004,0.0,1000.0,3.774994600000004,2.250054,0.749999999999989,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[15, 149, 195]",False,[1.6],[100.0]
432,ML-Guided,,False,0.99,1.0,0.97,0.45,0.95,1.87,False,False,False,short,1.66,22.37,223,4,True,True,True,False,bullish,False,3,90,92,6,3.39,6,15,83,19,93,13,38,3.41,0.85,0.0327,False,36,0.6438,True,21,2.07,True,13,31,16,True,29,15.1,True,True,0.3,False,11,False,35,-0.1,5m,5m,PARTIUSDT,5.0,0.6,34.44626793214926,4.540410616314454,13.724489541910426,6.889253586429852,1.1443907964278597,0.7499999999999856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,"[30, 52, 175]",True,"[1.1, 2.9, 3.3]","[33.33, 33.33, 33.33]"
590,ML-Guided,,False,0.99,1.0,0.93,5.97,0.39,1.0,True,False,False,short,2.51,24.21,467,5,False,True,True,False,bearish,False,28,80,247,16,2.32,5,19,58,44,98,4,46,1.91,0.86,0.9865,False,36,0.6438,True,15,3.17,False,20,58,13,True,17,24.2,True,False,2.29,False,11,True,6,0.26,5m,5m,PARTIUSDT,4.0,0.75,32.10183402553946,12.533369497842244,11.245236616080344,8.025458506384865,0.8824570690074539,0.7500000000000016,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,"[48, 125, 189]",False,[4.8],[100.0]
463,ML-Guided,,False,0.99,1.0,0.84,5.89,1.32,4.01,False,False,False,long,3.06,32.55,278,4,True,True,True,False,bearish,False,28,141,226,4,3.84,10,11,85,45,88,14,42,2.74,0.93,0.1518,False,36,0.6438,True,47,2.04,True,5,33,8,False,27,39.4,False,True,0.77,False,11,False,35,-0.1,5m,5m,PARTIUSDT,12.0,1.0,29.437788773117163,0.0,1000.0,2.45314906442643,0.9163593666629009,0.3749999999999855,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,91.66666666666666,8.333333333333332,0.0,0.0,0.0,"[40, 114, 271]",True,"[1.9, 2.7, 4.6]","[33.33, 33.33, 33.33]"
5,Random (Initial Phase),,False,0.99,1.0,0.16,0.52,0.71,1.0,True,False,False,both,3.03,47.54,610,1,True,True,True,False,bullish,False,26,132,69,20,3.35,2,10,74,25,98,14,47,2.29,2.46,0.5914,False,36,0.6438,True,35,2.2,False,20,58,13,True,37,38.5,False,False,2.29,False,11,True,28,0.13,5m,5m,PARTIUSDT,8.0,0.375,28.6531384142334,6.228833513764895,9.730270796677877,3.5816423017791745,1.8097827923658711,0.7499999999999887,0.0,8.0,0.0,0.0,5.0,0.0,0.0,61.53846153846154,0.0,0.0,38.46153846153847,0.0,0.0,"[29, 52, 215]",False,[3.6],[100.0]
475,ML-Guided,,False,0.99,1.0,0.29,4.77,0.15,0.82,True,False,False,long,0.59,37.95,712,2,False,True,True,False,bearish,False,28,90,236,19,0.74,6,15,56,28,82,26,12,2.37,2.72,0.696,False,36,0.6438,False,35,1.59,True,25,46,7,False,27,39.4,False,False,2.29,True,29,False,35,-0.1,5m,5m,PARTIUSDT,42.0,0.8333333333333334,28.118559644816365,35.77365076450741,1.5673001174228314,0.6694895153527706,4.023386124403851,0.5535714285714274,0.0,5.0,35.0,2.0,5.0,0.0,0.0,10.638297872340424,74.46808510638297,4.25531914893617,10.638297872340424,0.0,0.0,"[26, 108, 296]",True,"[1.4, 3.5, 3.8]","[33.33, 33.33, 33.33]"
414,ML-Guided,,False,0.99,1.0,0.79,3.17,0.8,1.0,False,False,False,both,3.83,7.56,160,3,False,True,True,False,bullish,False,13,32,155,13,0.22,3,25,82,43,89,28,39,4.94,2.2,0.4217,True,15,0.74,False,35,1.59,True,25,27,13,False,27,39.4,True,False,2.29,True,25,True,29,0.21,5m,5m,PARTIUSDT,2.0,0.5,26.30808506772112,13.737417919975048,4.219739788234315,13.15404253386056,0.4633971670056269,0.7499999999999698,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,"[48, 139, 199]",False,[4.7],[100.0]
