date,time_start,time_end,open,high,low,close,volume,change,change_percent
2019-11-27,05:00,04:59,146.0,156.52,125.03,151.49,128675.37,5.490000000000009,3.7602739726027457
2019-11-28,05:00,04:59,151.46,154.51,148.88,151.95,126965.86,0.4899999999999807,0.3235177604647964
2019-11-29,05:00,04:59,151.95,157.4,150.89,153.39,207221.32799999998,1.4399999999999977,0.9476801579466916
2019-11-30,05:00,04:59,153.38,154.83,145.7,148.05,393073.782,-5.329999999999984,-3.475029338896847
2019-12-01,05:00,04:59,148.06,152.5,145.5,150.23,388366.484,2.1699999999999875,1.465622045116836
2019-12-02,05:00,04:59,150.24,150.35,146.67,148.43,435461.822,-1.8100000000000023,-1.2047390841320569
2019-12-03,05:00,04:59,148.38,148.95,143.03,144.47,492418.13999999996,-3.9099999999999966,-2.635126027766543
2019-12-04,05:00,04:59,144.45,152.22,142.96,144.71,661103.545,0.2600000000000193,0.17999307718935226
2019-12-05,05:00,04:59,144.63,148.88,144.34,147.5,408162.981,2.8700000000000045,1.9843739196570591
2019-12-06,05:00,04:59,147.51,149.5,145.66,148.86,325902.771,1.3500000000000227,0.9151921903599911
2019-12-07,05:00,04:59,148.83,149.11,146.01,146.8,239263.055,-2.030000000000001,-1.3639723174091252
2019-12-08,05:00,04:59,146.8,156.25,146.75,150.1,256777.587,3.299999999999983,2.2479564032697428
2019-12-09,05:00,04:59,150.1,151.15,146.14,147.2,314768.838,-2.9000000000000057,-1.9320453031312494
2019-12-10,05:00,04:59,147.22,147.49,143.78,145.51,216592.01299999998,-1.710000000000008,-1.1615269664447818
2019-12-11,05:00,04:59,145.51,146.14,139.05,141.63,242090.90500000003,-3.8799999999999955,-2.666483403202526
2019-12-12,05:00,04:59,141.68,145.8,141.07,144.52,313707.17299999995,2.8400000000000034,2.0045172219085283
2019-12-13,05:00,04:59,144.52,145.17,143.0,144.48,165175.976,-0.040000000000020464,-0.027677830058137603
2019-12-14,05:00,04:59,144.48,144.49,139.89,141.01,225760.282,-3.469999999999999,-2.401716500553709
2019-12-15,05:00,04:59,141.01,144.0,140.37,141.21,219698.187,0.20000000000001705,0.1418339124884881
2019-12-16,05:00,04:59,141.21,142.15,128.59,131.57,556747.642,-9.640000000000015,-6.826711989235899
2019-12-17,05:00,04:59,131.57,132.28,119.1,123.69,703727.1089999999,-7.8799999999999955,-5.989207266094091
2019-12-18,05:00,04:59,123.69,134.75,115.95,128.22,1054625.652,4.530000000000001,3.662381760853748
2019-12-19,05:00,04:59,128.19,129.28,125.66,126.64,542507.2089999999,-1.5499999999999972,-1.2091426788361004
2019-12-20,05:00,04:59,126.64,129.33,125.73,127.38,309551.297,0.7399999999999949,0.5843335439039757
2019-12-21,05:00,04:59,127.36,127.85,126.5,127.1,182189.43099999998,-0.2600000000000051,-0.2041457286432201
2019-12-22,05:00,04:59,127.1,135.09,126.86,133.14,576221.049,6.039999999999992,4.752163650668758
2019-12-23,05:00,04:59,133.12,134.41,126.01,127.83,628058.758,-5.290000000000006,-3.9738581730769273
2019-12-24,05:00,04:59,127.83,129.67,125.0,126.21,497808.045,-1.6200000000000045,-1.2673081436282598
2019-12-25,05:00,04:59,126.21,126.25,123.0,124.39,432700.588,-1.8199999999999932,-1.4420410427065948
2019-12-26,05:00,04:59,124.39,132.44,124.35,125.32,607320.99,0.9299999999999926,0.7476485248010231
2019-12-27,05:00,04:59,125.31,128.3,122.0,127.4,609905.906,2.0900000000000034,1.667863698028891
2019-12-28,05:00,04:59,127.39,129.62,126.55,127.89,386738.609,0.5,0.3924954863019075
2019-12-29,05:00,04:59,127.89,138.25,127.58,135.03,856322.2760000001,7.140000000000001,5.582922824302135
2019-12-30,05:00,04:59,135.0,136.21,130.19,131.37,657042.4450000001,-3.6299999999999955,-2.6888888888888856
2019-12-31,05:00,04:59,131.34,133.64,128.15,130.15,653762.899,-1.1899999999999977,-0.9060453784071857
2020-01-01,05:00,04:59,130.15,132.96,128.67,129.55,485701.688,-0.5999999999999943,-0.4610065309258504
2020-01-02,05:00,04:59,129.54,130.24,125.78,129.23,575766.901,-0.3100000000000023,-0.23930832175390018
2020-01-03,05:00,04:59,129.23,135.07,128.66,133.63,877559.5789999999,4.400000000000006,3.4047821713224526
2020-01-04,05:00,04:59,133.6,137.25,132.41,135.84,570245.771,2.240000000000009,1.6766467065868331
2020-01-05,05:00,04:59,135.83,139.68,134.16,139.33,772178.727,3.5,2.576750349701833
2020-01-06,05:00,04:59,139.33,145.25,138.47,142.5,1020564.888,3.1699999999999875,2.275174047226001
2020-01-07,05:00,04:59,142.48,147.94,138.7,145.0,1063077.954,2.5200000000000102,1.7686692869174694
2020-01-08,05:00,04:59,145.0,145.26,137.15,139.98,1095984.699,-5.02000000000001,-3.4620689655172483
2020-01-09,05:00,04:59,139.97,140.21,135.33,136.34,904854.9609999999,-3.6299999999999955,-2.593412874187323
2020-01-10,05:00,04:59,136.34,145.29,135.22,143.19,944971.238,6.849999999999994,5.024204195393864
2020-01-11,05:00,04:59,143.19,148.03,141.71,143.57,810474.371,0.37999999999999545,0.2653816607304948
2020-01-12,05:00,04:59,143.61,147.0,142.53,143.87,627741.304,0.2599999999999909,0.1810458881693412
2020-01-13,05:00,04:59,143.87,150.78,142.32,149.15,742704.301,5.280000000000001,3.6699798429137425
2020-01-14,05:00,04:59,149.15,172.18,148.09,160.69,2389197.662,11.539999999999992,7.737177338250079
2020-01-15,05:00,04:59,160.71,169.14,158.43,160.54,1069435.364,-0.17000000000001592,-0.10578059859375018
2020-01-16,05:00,04:59,160.54,167.49,159.82,166.8,746147.3670000001,6.260000000000019,3.8993397284166065
2020-01-17,05:00,04:59,166.78,174.79,165.23,168.76,895550.4990000001,1.9799999999999898,1.1871927089579026
2020-01-18,05:00,04:59,168.75,179.57,165.08,176.05,846454.7890000001,7.300000000000011,4.325925925925932
2020-01-19,05:00,04:59,176.02,177.56,161.81,165.01,664606.304,-11.01000000000002,-6.254971026019781
2020-01-20,05:00,04:59,164.98,169.48,161.5,168.03,368302.863,3.0500000000000114,1.8487089344163
2020-01-21,05:00,04:59,167.98,170.34,165.02,169.53,341539.81,1.5500000000000114,0.922728896297185
2020-01-22,05:00,04:59,169.53,171.61,164.36,164.85,383467.48900000006,-4.680000000000007,-2.760573349849588
2020-01-23,05:00,04:59,164.86,165.8,158.0,158.54,469856.853,-6.320000000000022,-3.8335557442678763
2020-01-24,05:00,04:59,158.51,164.65,155.72,159.56,465287.56299999997,1.0500000000000114,0.6624187748407112
2020-01-25,05:00,04:59,159.6,163.0,158.81,161.03,266078.67500000005,1.4300000000000068,0.8959899749373477
2020-01-26,05:00,04:59,161.03,169.94,160.75,167.12,364522.094,6.090000000000003,3.7819039930447764
2020-01-27,05:00,04:59,167.12,174.34,165.28,172.64,425996.76,5.519999999999982,3.303015797032062
2020-01-28,05:00,04:59,172.62,177.97,170.37,176.66,535889.98,4.039999999999992,2.340400880546861
2020-01-29,05:00,04:59,176.68,178.85,171.07,174.48,370709.988,-2.200000000000017,-1.245189042336437
2020-01-30,05:00,04:59,174.5,187.4,173.71,182.69,703957.6270000001,8.189999999999998,4.693409742120343
2020-01-31,05:00,04:59,182.69,184.58,175.5,182.25,654331.5190000001,-0.4399999999999977,-0.2408451475176516
2020-02-01,05:00,04:59,182.24,184.4,179.0,182.09,538633.62,-0.15000000000000568,-0.08230904302019626
2020-02-02,05:00,04:59,182.03,195.45,181.51,191.02,1025106.862,8.990000000000009,4.9387463604900335
2020-02-03,05:00,04:59,191.06,192.24,186.65,187.35,529328.7220000001,-3.710000000000008,-1.9417983879409653
2020-02-04,05:00,04:59,187.35,190.49,184.71,190.49,584181.338,3.140000000000015,1.6760074726447904
2020-02-05,05:00,04:59,190.41,208.18,190.01,206.17,977271.2740000001,15.759999999999991,8.276876214484528
2020-02-06,05:00,04:59,206.17,221.27,205.29,218.77,1384148.498,12.600000000000023,6.111461415336869
2020-02-07,05:00,04:59,218.77,225.36,213.35,220.11,1075448.026,1.3400000000000034,0.6125154271609469
2020-02-08,05:00,04:59,220.15,229.18,218.83,227.93,1000980.73,7.780000000000001,3.5339541221894164
2020-02-09,05:00,04:59,227.92,230.9,222.25,224.95,961655.439,-2.969999999999999,-1.3030888030888028
2020-02-10,05:00,04:59,224.95,226.2,217.32,219.05,1138673.3199999998,-5.899999999999977,-2.6228050677928327
2020-02-11,05:00,04:59,219.12,249.29,218.64,246.23,1343435.5699999998,27.109999999999985,12.372216137276371
2020-02-12,05:00,04:59,246.13,277.97,245.68,269.99,2278368.363,23.860000000000014,9.6940641124609
2020-02-13,05:00,04:59,269.96,278.8,256.2,267.18,2234965.366,-2.7799999999999727,-1.0297821899540573
2020-02-14,05:00,04:59,267.16,289.0,260.53,281.47,1541692.109,14.310000000000002,5.356340769576285
